Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Tina Dietze,F,28,172,68,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Tina Dietze,F,28,172,68,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Ding Ning,F,26,171,63,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,Gold
Ding Ning,F,26,171,63,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Gold
Ding Xia,F,26,180,67,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Gold
Loredana Dinu (Iordchioiu-),F,32,168,60,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Gold
Adrien Dipanda,M,28,202,105,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Gold
"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,Silver
Carlien Clemens Dirkse van den Heuvel,F,29,170,56,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
Christian Dissinger,M,24,203,105,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
Denis Sergeyevich Dmitriyev,M,30,177,90,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Sprint,Bronze
Darya Yevgenyevna Dmitriyeva,F,20,178,74,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
Sbastien Dockier,M,26,175,74,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver
John-John Dohmen,M,28,174,69,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver
Slvia Domnguez Fernndez,F,29,167,64,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Silver
Apisai Raviyawa Domolailai,M,27,192,98,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Dong Bin,M,27,180,74,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Bronze
Dong Dong,M,27,168,57,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Silver
Dorjnyambuugiin Otgondalai,M,28,170,60,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Bronze
Dorjsurengiin Sumiya,F,25,160,59,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Silver
Sam Dorman,M,24,175,77,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Silver
Sara Dosho,F,21,159,69,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Gold
Josef Dostl,M,23,202,115,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Josef Dostl,M,23,202,115,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20,157,50,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
Douglas dos Santos Justino de Melo,M,22,173,69,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Owain Daniel John Doull,M,23,181,73,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Felix Drahotta,M,27,200,102,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
Caeleb Remel Dressel,M,19,191,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Caeleb Remel Dressel,M,19,191,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Derek Drouin,M,26,196,83,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold
Daniela Druncea,F,25,150,50,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
Paul Drux,M,21,192,106,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
Alexander Mah Owens Drysdale,M,37,200,102,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
Du Li,F,34,170,55,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver
Du Li,F,34,170,55,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Duan Jingli,F,27,180,76,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Bronze
Charlotte Susan Jane Dujardin,F,31,170,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Charlotte Susan Jane Dujardin,F,31,170,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Tom Dumoulin,M,25,186,70,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Silver
Vitaly Vladimirovich Dunaytsev,M,24,174,64,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Bronze
Fitzroy Junior Dunkley,M,23,195,79,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Joshua Dunkley-Smith,M,27,194,98,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
Kevin Wayne Durant,M,27,206,105,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Scott David Durant,M,28,196,96,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
Hasanboy Dusmatov,M,23,156,49,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Gold
Phillip Peter Dutton,M,52,168,68,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Yekaterina Vladimirovna Dyachenko,F,28,167,53,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Gold
Ivan Fyodorovich Dychko,M,25,205,91,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,Bronze
Chlo Dygert (-Owen),F,19,176,66,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Silver
Ashton James Eaton,M,28,186,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
Masashi Ebinuma,M,26,170,66,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
"Jessica Jane ""Jess"" Eddie",F,31,178,75,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
der Francis Carbonera,M,32,205,107,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
"Alexander ""Alex"" Edmondson",M,22,184,76,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Batrice Edwige,F,27,182,76,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
Naito Ehara,M,23,172,59,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Stefaniya Aleksandrovna Elfutina,F,19,170,59,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,Bronze
Marcus John Ellis,M,26,175,80,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,Bronze
Taylor Ellis-Watson,F,23,183,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Brady Lee Ellison,M,27,181,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Bronze
Brady Lee Ellison,M,27,181,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Silver
Amanda Elmore,F,25,180,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Giulia Enrica Emmolo,F,24,171,67,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
Tnu Endrekson,M,37,198,104,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
Jessica Phyllis Ennis-Hill,F,30,165,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,Silver
"Magdalena ""Magda"" Eriksson",F,22,172,66,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
Anthony Lee Ervin,M,35,191,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Gold
Anthony Lee Ervin,M,35,191,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
"Srgio ""Escadinha"" Dutra dos Santos",M,40,184,78,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Mara del Rosario Espinoza Espinoza,F,28,173,70,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,Silver
Chloe Esposito,F,24,168,55,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
Oghenekaro Peter Etebo,M,20,172,71,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
Gemma Etheridge,F,29,169,66,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
Imoh Ezekiel,M,22,171,80,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
Ludovic Fabregas,M,20,198,100,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Simone Facey,F,31,162,53,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Fan Yilin,F,16,148,37,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Bronze
ime Fantela,M,30,183,67,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Gold
"Mohamed Muktar Jama ""Mo"" Farah",M,33,175,58,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",Gold
"Mohamed Muktar Jama ""Mo"" Farah",M,33,175,58,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",Gold
Bianca Farella,F,24,173,73,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
Kent Farrington,M,35,173,66,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Steffen Fth,M,26,199,97,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
Rachel Fattal,F,22,173,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
Krisztina Fazekas Zur,F,36,172,64,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
"James ""Jimmy"" Feigen",M,26,196,98,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Felipe Anderson Perieira Gomes,M,23,178,66,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Allyson Michelle Felix,F,30,168,56,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,Silver
Allyson Michelle Felix,F,30,168,56,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Allyson Michelle Felix,F,30,168,56,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Feng Shanshan,F,26,170,85,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,Bronze
"Rodolfo ""Rudy"" Fernndez Farrs",M,31,196,84,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Rossella Fiamingo,F,25,167,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",Silver
Marco Fichera,M,22,180,74,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Silver
Connor Evan Fields,M,23,183,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's BMX,Gold
Pietro Figlioli,M,32,191,98,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
scar Albeyro Figueroa Mosquera,M,33,159,62,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,Gold
Roseline Filion,F,29,152,52,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Bronze
Filip Filipovi,M,29,196,101,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
Yoel Segundo Finol Rivas,M,19,168,52,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,Bronze
Aria Fischer,F,17,183,78,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
Makenzie Fischer,F,19,186,74,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
sa Nilla Maria Fischer,F,32,176,68,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
Theresa Matauaina Fitzpatrick,F,21,168,75,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
Jessie Alexandra Fleming,F,18,164,55,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
David Florence,M,33,188,76,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
Casper Michael von Folsach,M,23,191,82,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Andrea Fondelli,M,22,190,96,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
Nouchka Fontijn,F,28,180,75,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Silver
Shashalee Forbes,F,20,160,55,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Karsten Forsterling,M,36,191,88,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
Sylvia Shaqueria Fowles,F,30,198,90,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
"Jessica Esther ""Jess"" Fox",F,22,166,60,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Marit Malm Frafjord,F,30,182,78,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
Javon Francis,M,21,183,68,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Phyllis Chanez Francis,F,24,180,72,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Tanja Chiara Frank,F,23,167,57,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Bronze
"Melissa Jeanette ""Missy"" Franklin",F,21,188,77,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Anna Jenny Eva Maria Fransson (Magnusson-),F,29,169,73,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Bronze
Shelly-Ann Fraser-Pryce,F,29,160,57,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,Bronze
Shelly-Ann Fraser-Pryce,F,29,160,57,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Teresa Frassinetti,F,30,178,75,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
Carl Peder Fredricson,M,44,189,80,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
"Christopher Clive ""Chris"" Froome",M,31,185,69,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Bronze
Fu Haifeng,M,32,181,78,China-1,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,Gold
Fu Yuanhui,F,20,179,63,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Florian Fuchs,M,24,185,74,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
Jakob Diemer Fuglsang,M,31,183,69,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",Silver
Ai Fukuhara,F,27,156,48,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Bronze
Magdalena Fularczyk-Kozowska,F,29,173,70,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Gold
Moritz Frste,M,31,190,89,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
Gabriel Barbosa Almeida,M,19,178,68,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Gabriel Fernando de Jesus,M,19,175,68,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Otgontsetseg Galbadrakhyn,F,24,170,63,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,Bronze
Valentino Gallo,M,31,192,95,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
"Jacqueline ""Jackie"" Galloway",F,20,178,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Dzhavid Shakirovich Gamzatov,M,26,176,91,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Gao Lei,M,24,170,64,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Bronze
Xavier Garca Gadea,M,32,198,92,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
Steven Gardiner,M,20,193,94,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
English Gardner,F,24,168,55,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Denis Gargaud Chanut,M,29,181,76,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Arianna Garibotti,F,26,169,64,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
Daniele Garozzo,M,23,177,65,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",Gold
Enrico Garozzo,M,27,190,70,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Silver
Zach Garrett,M,21,178,64,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Silver
Pau Gasol Sez,M,36,215,115,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Justin Alexander Gatlin,M,34,186,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Silver
Artemi Gavezou Castro,F,22,169,55,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Yuliya Petrovna Gavrilova,F,27,169,56,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Gold
Fazliddin Khasanbayevich Gaybnazarov,M,25,169,64,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Gold
Ruth Marie Christelle Gbagbi,F,22,176,65,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,Bronze
Hagos Gebrhiwet Berhe,M,22,171,56,Ethiopia,ETH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",Bronze
Justin Gilberto Geduld,M,22,175,78,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Aniuar Borisovich Geduyev,M,29,173,74,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
Uwe Gensheimer,M,29,188,88,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
Paul George,M,26,206,99,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Vincent Grard,M,29,189,100,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Aleksandra Viktorovna Gerasimenya,F,30,175,60,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Bronze
Yarden Gerbi,F,27,169,63,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Bronze
Komeil Nemat Ghasemi,M,28,186,115,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Simona Cristina Gherman (Alexandru-),F,31,170,58,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Gold
Simone Giannelli,M,19,198,92,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
"Spyridon ""Spyros"" Gianniotis",M,36,185,78,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 10 kilometres Open Water,Silver
Laura Gil Collado,F,24,191,78,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Silver
Juan Ignacio Gilardi,M,34,186,91,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Kaleigh Gilchrist,F,24,176,77,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
Fabien Pierre Aurlien Dominique Gilot,M,32,193,85,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Matthias Lukas Ginter,M,22,190,88,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
